id,host,start,end,duration,duration.min
262362,acid.ocf.berkeley.edu,2017-08-23T16:07:02Z,2017-08-23T16:23:31Z,16M 29S,16
262388,acid.ocf.berkeley.edu,2017-08-23T16:29:02Z,2017-08-23T16:33:11Z,4M 9S,4
262412,acid.ocf.berkeley.edu,2017-08-23T16:51:02Z,2017-08-23T17:11:11Z,20M 9S,20
262434,acid.ocf.berkeley.edu,2017-08-23T17:12:02Z,2017-08-23T17:16:09Z,4M 7S,4
262444,acid.ocf.berkeley.edu,2017-08-23T17:22:01Z,2017-08-23T17:27:53Z,5M 52S,5
262459,acid.ocf.berkeley.edu,2017-08-23T17:29:02Z,2017-08-23T19:16:17Z,1H 47M 15S,107
262600,acid.ocf.berkeley.edu,2017-08-23T19:18:02Z,2017-08-23T19:21:33Z,3M 31S,3
262610,acid.ocf.berkeley.edu,2017-08-23T19:23:02Z,2017-08-23T19:24:45Z,1M 43S,1
262617,acid.ocf.berkeley.edu,2017-08-23T19:26:02Z,2017-08-23T20:11:24Z,45M 22S,45
262671,acid.ocf.berkeley.edu,2017-08-23T20:22:02Z,2017-08-23T20:22:25Z,23S,0
262680,acid.ocf.berkeley.edu,2017-08-23T20:27:02Z,2017-08-23T20:28:55Z,1M 53S,1
262688,acid.ocf.berkeley.edu,2017-08-23T20:35:02Z,2017-08-23T20:36:38Z,1M 36S,1
262698,acid.ocf.berkeley.edu,2017-08-23T20:46:03Z,2017-08-23T20:54:47Z,8M 44S,8
262709,acid.ocf.berkeley.edu,2017-08-23T20:57:03Z,2017-08-23T20:58:47Z,1M 44S,1
262713,acid.ocf.berkeley.edu,2017-08-23T21:02:02Z,2017-08-23T21:05:08Z,3M 6S,3
262723,acid.ocf.berkeley.edu,2017-08-23T21:09:02Z,2017-08-23T21:13:08Z,4M 6S,4
262732,acid.ocf.berkeley.edu,2017-08-23T21:15:02Z,2017-08-23T21:52:47Z,37M 45S,37
262770,acid.ocf.berkeley.edu,2017-08-23T21:55:01Z,2017-08-23T21:59:31Z,4M 30S,4
262782,acid.ocf.berkeley.edu,2017-08-23T22:06:02Z,2017-08-23T22:55:42Z,49M 40S,49
262841,acid.ocf.berkeley.edu,2017-08-23T23:02:03Z,2017-08-24T00:42:27Z,1H 40M 24S,100
262946,acid.ocf.berkeley.edu,2017-08-24T00:52:03Z,2017-08-24T02:19:58Z,1H 27M 55S,87
263007,acid.ocf.berkeley.edu,2017-08-24T02:47:01Z,2017-08-24T03:10:13Z,23M 12S,23
263037,acid.ocf.berkeley.edu,2017-08-24T16:12:03Z,2017-08-24T16:20:51Z,8M 48S,8
263060,acid.ocf.berkeley.edu,2017-08-24T16:30:03Z,2017-08-24T16:35:54Z,5M 51S,5
263066,acid.ocf.berkeley.edu,2017-08-24T16:39:03Z,2017-08-24T16:50:06Z,11M 3S,11
263081,acid.ocf.berkeley.edu,2017-08-24T16:51:01Z,2017-08-24T16:52:06Z,1M 5S,1
263085,acid.ocf.berkeley.edu,2017-08-24T16:58:03Z,2017-08-24T17:09:34Z,11M 31S,11
263101,acid.ocf.berkeley.edu,2017-08-24T17:11:02Z,2017-08-24T17:13:15Z,2M 13S,2
263104,acid.ocf.berkeley.edu,2017-08-24T17:17:03Z,2017-08-24T17:20:12Z,3M 9S,3
263112,acid.ocf.berkeley.edu,2017-08-24T17:24:03Z,2017-08-24T17:45:20Z,21M 17S,21
263145,acid.ocf.berkeley.edu,2017-08-24T17:50:01Z,2017-08-24T17:58:37Z,8M 36S,8
263185,acid.ocf.berkeley.edu,2017-08-24T18:17:03Z,2017-08-24T18:25:24Z,8M 21S,8
263197,acid.ocf.berkeley.edu,2017-08-24T18:27:02Z,2017-08-24T19:03:10Z,36M 8S,36
263243,acid.ocf.berkeley.edu,2017-08-24T19:05:02Z,2017-08-24T19:06:41Z,1M 39S,1
263254,acid.ocf.berkeley.edu,2017-08-24T19:11:02Z,2017-08-24T19:14:53Z,3M 51S,3
263260,acid.ocf.berkeley.edu,2017-08-24T19:16:01Z,2017-08-24T19:26:26Z,10M 25S,10
263277,acid.ocf.berkeley.edu,2017-08-24T19:29:02Z,2017-08-24T19:56:22Z,27M 20S,27
263316,acid.ocf.berkeley.edu,2017-08-24T19:58:03Z,2017-08-24T20:03:42Z,5M 39S,5
263326,acid.ocf.berkeley.edu,2017-08-24T20:10:02Z,2017-08-24T20:16:36Z,6M 34S,6
263337,acid.ocf.berkeley.edu,2017-08-24T20:18:02Z,2017-08-24T20:55:14Z,37M 12S,37
263369,acid.ocf.berkeley.edu,2017-08-24T20:57:02Z,2017-08-24T21:07:29Z,10M 27S,10
263383,acid.ocf.berkeley.edu,2017-08-24T21:09:03Z,2017-08-24T22:08:28Z,59M 25S,59
263456,acid.ocf.berkeley.edu,2017-08-24T22:12:02Z,2017-08-24T22:40:41Z,28M 39S,28
263502,acid.ocf.berkeley.edu,2017-08-24T22:48:01Z,2017-08-24T22:49:39Z,1M 38S,1
263512,acid.ocf.berkeley.edu,2017-08-24T22:51:03Z,2017-08-24T23:06:56Z,15M 53S,15
263530,acid.ocf.berkeley.edu,2017-08-24T23:11:02Z,2017-08-24T23:18:01Z,6M 59S,6
263543,acid.ocf.berkeley.edu,2017-08-24T23:25:01Z,2017-08-24T23:37:32Z,12M 31S,12
263563,acid.ocf.berkeley.edu,2017-08-24T23:50:03Z,2017-08-25T00:00:57Z,10M 54S,10
263573,acid.ocf.berkeley.edu,2017-08-25T00:03:01Z,2017-08-25T00:11:06Z,8M 5S,8
263600,acid.ocf.berkeley.edu,2017-08-25T00:23:01Z,2017-08-25T00:26:28Z,3M 27S,3
263611,acid.ocf.berkeley.edu,2017-08-25T00:43:02Z,2017-08-25T00:53:39Z,10M 37S,10
263730,acid.ocf.berkeley.edu,2017-08-25T17:14:02Z,2017-08-25T17:16:53Z,2M 51S,2
263743,acid.ocf.berkeley.edu,2017-08-25T17:20:03Z,2017-08-25T17:24:48Z,4M 45S,4
263752,acid.ocf.berkeley.edu,2017-08-25T17:27:02Z,2017-08-25T18:08:51Z,41M 49S,41
263812,acid.ocf.berkeley.edu,2017-08-25T18:10:03Z,2017-08-25T18:14:55Z,4M 52S,4
263822,acid.ocf.berkeley.edu,2017-08-25T18:19:02Z,2017-08-25T18:24:41Z,5M 39S,5
263837,acid.ocf.berkeley.edu,2017-08-25T18:27:03Z,2017-08-25T18:33:48Z,6M 45S,6
263851,acid.ocf.berkeley.edu,2017-08-25T18:38:03Z,2017-08-25T18:48:28Z,10M 25S,10
263865,acid.ocf.berkeley.edu,2017-08-25T18:50:03Z,2017-08-25T18:54:59Z,4M 56S,4
263909,acid.ocf.berkeley.edu,2017-08-25T19:25:03Z,2017-08-25T19:25:29Z,26S,0
263921,acid.ocf.berkeley.edu,2017-08-25T19:36:03Z,2017-08-25T19:42:23Z,6M 20S,6
263929,acid.ocf.berkeley.edu,2017-08-25T19:45:02Z,2017-08-25T19:53:06Z,8M 4S,8
263940,acid.ocf.berkeley.edu,2017-08-25T19:55:03Z,2017-08-25T20:00:38Z,5M 35S,5
263959,acid.ocf.berkeley.edu,2017-08-25T20:12:02Z,2017-08-25T20:32:45Z,20M 43S,20
263998,acid.ocf.berkeley.edu,2017-08-25T20:38:03Z,2017-08-25T20:49:43Z,11M 40S,11
264045,acid.ocf.berkeley.edu,2017-08-25T21:19:02Z,2017-08-25T21:21:59Z,2M 57S,2
264051,acid.ocf.berkeley.edu,2017-08-25T21:24:02Z,2017-08-25T21:27:20Z,3M 18S,3
264060,acid.ocf.berkeley.edu,2017-08-25T21:36:02Z,2017-08-25T21:39:58Z,3M 56S,3
264068,acid.ocf.berkeley.edu,2017-08-25T21:45:03Z,2017-08-25T21:51:01Z,5M 58S,5
264074,acid.ocf.berkeley.edu,2017-08-25T21:53:02Z,2017-08-25T22:02:03Z,9M 1S,9
264113,acid.ocf.berkeley.edu,2017-08-25T22:20:01Z,2017-08-25T22:26:34Z,6M 33S,6
264122,acid.ocf.berkeley.edu,2017-08-25T22:27:02Z,2017-08-25T22:27:28Z,26S,0
264126,acid.ocf.berkeley.edu,2017-08-25T22:32:03Z,2017-08-25T22:33:41Z,1M 38S,1
264157,acid.ocf.berkeley.edu,2017-08-25T23:13:02Z,2017-08-26T00:04:26Z,51M 24S,51
264191,acid.ocf.berkeley.edu,2017-08-26T00:09:02Z,2017-08-26T00:21:14Z,12M 12S,12
264196,acid.ocf.berkeley.edu,2017-08-26T00:25:02Z,2017-08-26T00:30:25Z,5M 23S,5
264201,acid.ocf.berkeley.edu,2017-08-26T00:31:03Z,2017-08-26T00:31:38Z,35S,0
264223,acid.ocf.berkeley.edu,2017-08-26T18:10:02Z,2017-08-26T18:16:48Z,6M 46S,6
264265,acid.ocf.berkeley.edu,2017-08-26T20:45:03Z,2017-08-26T21:21:02Z,35M 59S,35
264277,acid.ocf.berkeley.edu,2017-08-26T21:28:02Z,2017-08-26T21:44:44Z,16M 42S,16
264297,acid.ocf.berkeley.edu,2017-08-26T22:29:03Z,2017-08-26T22:59:11Z,30M 8S,30
264341,acid.ocf.berkeley.edu,2017-08-27T04:22:02Z,2017-08-27T04:57:19Z,35M 17S,35
264372,acid.ocf.berkeley.edu,2017-08-27T19:23:02Z,2017-08-27T20:07:45Z,44M 43S,44
264389,acid.ocf.berkeley.edu,2017-08-27T20:11:02Z,2017-08-27T20:14:27Z,3M 25S,3
264425,acid.ocf.berkeley.edu,2017-08-27T22:06:02Z,2017-08-27T22:25:12Z,19M 10S,19
264445,acid.ocf.berkeley.edu,2017-08-27T22:50:03Z,2017-08-27T22:50:31Z,28S,0
264485,acid.ocf.berkeley.edu,2017-08-28T01:16:02Z,2017-08-28T01:16:53Z,51S,0
264502,acid.ocf.berkeley.edu,2017-08-28T16:10:02Z,2017-08-28T16:16:56Z,6M 54S,6
264536,acid.ocf.berkeley.edu,2017-08-28T16:18:03Z,2017-08-28T16:19:48Z,1M 45S,1
264544,acid.ocf.berkeley.edu,2017-08-28T16:26:02Z,2017-08-28T16:27:07Z,1M 5S,1
264553,acid.ocf.berkeley.edu,2017-08-28T16:29:02Z,2017-08-28T16:34:22Z,5M 20S,5
264562,acid.ocf.berkeley.edu,2017-08-28T16:40:03Z,2017-08-28T16:43:39Z,3M 36S,3
264572,acid.ocf.berkeley.edu,2017-08-28T16:50:02Z,2017-08-28T16:52:02Z,2M 0S,2
264585,acid.ocf.berkeley.edu,2017-08-28T16:59:02Z,2017-08-28T17:01:05Z,2M 3S,2
264592,acid.ocf.berkeley.edu,2017-08-28T17:05:03Z,2017-08-28T17:07:13Z,2M 10S,2
264603,acid.ocf.berkeley.edu,2017-08-28T17:08:03Z,2017-08-28T17:12:46Z,4M 43S,4
264625,acid.ocf.berkeley.edu,2017-08-28T17:16:02Z,2017-08-28T17:17:11Z,1M 9S,1
264631,acid.ocf.berkeley.edu,2017-08-28T17:18:02Z,2017-08-28T17:30:51Z,12M 49S,12
264655,acid.ocf.berkeley.edu,2017-08-28T17:31:03Z,2017-08-28T17:31:03Z,0S,0
264657,acid.ocf.berkeley.edu,2017-08-28T17:32:03Z,2017-08-28T17:39:44Z,7M 41S,7
264672,acid.ocf.berkeley.edu,2017-08-28T17:41:03Z,2017-08-28T18:02:39Z,21M 36S,21
264716,acid.ocf.berkeley.edu,2017-08-28T18:11:03Z,2017-08-28T18:18:49Z,7M 46S,7
264732,acid.ocf.berkeley.edu,2017-08-28T18:20:03Z,2017-08-28T18:37:53Z,17M 50S,17
264767,acid.ocf.berkeley.edu,2017-08-28T18:51:02Z,2017-08-28T19:10:21Z,19M 19S,19
264799,acid.ocf.berkeley.edu,2017-08-28T19:12:03Z,2017-08-28T19:16:33Z,4M 30S,4
264817,acid.ocf.berkeley.edu,2017-08-28T19:23:02Z,2017-08-28T19:24:03Z,1M 1S,1
264820,acid.ocf.berkeley.edu,2017-08-28T19:25:02Z,2017-08-28T19:26:20Z,1M 18S,1
264826,acid.ocf.berkeley.edu,2017-08-28T19:28:03Z,2017-08-28T19:36:54Z,8M 51S,8
264843,acid.ocf.berkeley.edu,2017-08-28T19:38:02Z,2017-08-28T19:57:43Z,19M 41S,19
264867,acid.ocf.berkeley.edu,2017-08-28T20:01:02Z,2017-08-28T20:05:07Z,4M 5S,4
264876,acid.ocf.berkeley.edu,2017-08-28T20:07:02Z,2017-08-28T20:15:15Z,8M 13S,8
264899,acid.ocf.berkeley.edu,2017-08-28T20:18:02Z,2017-08-28T20:21:07Z,3M 5S,3
264910,acid.ocf.berkeley.edu,2017-08-28T20:25:03Z,2017-08-28T20:49:04Z,24M 1S,24
264947,acid.ocf.berkeley.edu,2017-08-28T20:54:03Z,2017-08-28T20:59:46Z,5M 43S,5
264965,acid.ocf.berkeley.edu,2017-08-28T21:07:02Z,2017-08-28T21:19:05Z,12M 3S,12
264999,acid.ocf.berkeley.edu,2017-08-28T21:22:03Z,2017-08-28T22:43:20Z,1H 21M 17S,81
265109,acid.ocf.berkeley.edu,2017-08-28T22:46:03Z,2017-08-28T22:52:22Z,6M 19S,6
265124,acid.ocf.berkeley.edu,2017-08-28T23:00:03Z,2017-08-28T23:02:57Z,2M 54S,2
265134,acid.ocf.berkeley.edu,2017-08-28T23:04:03Z,2017-08-28T23:09:35Z,5M 32S,5
265149,acid.ocf.berkeley.edu,2017-08-28T23:13:03Z,2017-08-28T23:20:27Z,7M 24S,7
265161,acid.ocf.berkeley.edu,2017-08-28T23:22:03Z,2017-08-29T00:10:04Z,48M 1S,48
265214,acid.ocf.berkeley.edu,2017-08-29T00:12:01Z,2017-08-29T00:27:14Z,15M 13S,15
265241,acid.ocf.berkeley.edu,2017-08-29T00:33:02Z,2017-08-29T00:35:04Z,2M 2S,2
265257,acid.ocf.berkeley.edu,2017-08-29T02:19:02Z,2017-08-29T04:02:58Z,1H 43M 56S,103
265291,acid.ocf.berkeley.edu,2017-08-29T16:08:03Z,2017-08-29T16:17:41Z,9M 38S,9
265308,acid.ocf.berkeley.edu,2017-08-29T16:19:02Z,2017-08-29T16:22:13Z,3M 11S,3
265320,acid.ocf.berkeley.edu,2017-08-29T16:30:03Z,2017-08-29T16:32:44Z,2M 41S,2
265326,acid.ocf.berkeley.edu,2017-08-29T16:34:03Z,2017-08-29T16:43:52Z,9M 49S,9
265349,acid.ocf.berkeley.edu,2017-08-29T16:45:03Z,2017-08-29T16:57:13Z,12M 10S,12
265389,acid.ocf.berkeley.edu,2017-08-29T17:15:03Z,2017-08-29T17:47:16Z,32M 13S,32
265446,acid.ocf.berkeley.edu,2017-08-29T18:08:02Z,2017-08-29T18:19:58Z,11M 56S,11
265490,acid.ocf.berkeley.edu,2017-08-29T18:27:03Z,2017-08-29T18:39:29Z,12M 26S,12
265522,acid.ocf.berkeley.edu,2017-08-29T19:01:03Z,2017-08-29T19:13:11Z,12M 8S,12
265545,acid.ocf.berkeley.edu,2017-08-29T19:14:03Z,2017-08-29T19:18:51Z,4M 48S,4
265553,acid.ocf.berkeley.edu,2017-08-29T19:20:03Z,2017-08-29T19:24:19Z,4M 16S,4
265566,acid.ocf.berkeley.edu,2017-08-29T19:32:03Z,2017-08-29T19:45:47Z,13M 44S,13
265599,acid.ocf.berkeley.edu,2017-08-29T19:47:02Z,2017-08-29T19:52:53Z,5M 51S,5
265632,acid.ocf.berkeley.edu,2017-08-29T20:05:02Z,2017-08-29T20:16:37Z,11M 35S,11
265648,acid.ocf.berkeley.edu,2017-08-29T20:22:02Z,2017-08-29T20:33:02Z,11M 0S,11
265661,acid.ocf.berkeley.edu,2017-08-29T20:36:03Z,2017-08-29T20:40:30Z,4M 27S,4
265669,acid.ocf.berkeley.edu,2017-08-29T20:42:02Z,2017-08-29T20:58:08Z,16M 6S,16
265689,acid.ocf.berkeley.edu,2017-08-29T21:03:01Z,2017-08-29T21:23:08Z,20M 7S,20
265741,acid.ocf.berkeley.edu,2017-08-29T21:33:03Z,2017-08-29T21:57:12Z,24M 9S,24
265772,acid.ocf.berkeley.edu,2017-08-29T22:03:02Z,2017-08-29T22:16:51Z,13M 49S,13
265798,acid.ocf.berkeley.edu,2017-08-29T22:21:02Z,2017-08-29T22:30:11Z,9M 9S,9
265819,acid.ocf.berkeley.edu,2017-08-29T22:33:02Z,2017-08-29T22:36:53Z,3M 51S,3
265841,acid.ocf.berkeley.edu,2017-08-29T22:46:02Z,2017-08-29T22:54:45Z,8M 43S,8
265856,acid.ocf.berkeley.edu,2017-08-29T22:58:02Z,2017-08-29T23:47:39Z,49M 37S,49
265893,acid.ocf.berkeley.edu,2017-08-29T23:55:02Z,2017-08-29T23:59:02Z,4M 0S,4
265904,acid.ocf.berkeley.edu,2017-08-30T00:06:02Z,2017-08-30T00:06:02Z,0S,0
265907,acid.ocf.berkeley.edu,2017-08-30T00:07:02Z,2017-08-30T00:08:12Z,1M 10S,1
265911,acid.ocf.berkeley.edu,2017-08-30T00:10:02Z,2017-08-30T00:14:50Z,4M 48S,4
265938,acid.ocf.berkeley.edu,2017-08-30T00:21:03Z,2017-08-30T00:24:07Z,3M 4S,3
265949,acid.ocf.berkeley.edu,2017-08-30T00:30:03Z,2017-08-30T01:00:04Z,30M 1S,30
266003,acid.ocf.berkeley.edu,2017-08-30T01:32:02Z,2017-08-30T01:48:44Z,16M 42S,16
266094,acid.ocf.berkeley.edu,2017-08-30T16:20:03Z,2017-08-30T16:57:27Z,37M 24S,37
266138,acid.ocf.berkeley.edu,2017-08-30T17:01:02Z,2017-08-30T17:41:43Z,40M 41S,40
266210,acid.ocf.berkeley.edu,2017-08-30T17:44:03Z,2017-08-30T17:46:25Z,2M 22S,2
266215,acid.ocf.berkeley.edu,2017-08-30T17:47:02Z,2017-08-30T17:52:43Z,5M 41S,5
266227,acid.ocf.berkeley.edu,2017-08-30T17:54:02Z,2017-08-30T18:02:02Z,8M 0S,8
266242,acid.ocf.berkeley.edu,2017-08-30T18:07:02Z,2017-08-30T18:15:12Z,8M 10S,8
266255,acid.ocf.berkeley.edu,2017-08-30T18:16:02Z,2017-08-30T18:45:59Z,29M 57S,29
266290,acid.ocf.berkeley.edu,2017-08-30T18:48:02Z,2017-08-30T18:53:43Z,5M 41S,5
266298,acid.ocf.berkeley.edu,2017-08-30T18:55:02Z,2017-08-30T19:58:39Z,1H 3M 37S,63
266377,acid.ocf.berkeley.edu,2017-08-30T20:03:02Z,2017-08-30T20:06:36Z,3M 34S,3
266387,acid.ocf.berkeley.edu,2017-08-30T20:08:03Z,2017-08-30T20:10:42Z,2M 39S,2
266417,acid.ocf.berkeley.edu,2017-08-30T20:29:02Z,2017-08-30T20:57:33Z,28M 31S,28
266459,acid.ocf.berkeley.edu,2017-08-30T21:11:02Z,2017-08-30T21:38:54Z,27M 52S,27
266510,acid.ocf.berkeley.edu,2017-08-30T21:47:02Z,2017-08-30T21:56:53Z,9M 51S,9
266525,acid.ocf.berkeley.edu,2017-08-30T22:04:02Z,2017-08-30T22:11:00Z,6M 58S,6
266532,acid.ocf.berkeley.edu,2017-08-30T22:12:01Z,2017-08-30T22:22:30Z,10M 29S,10
266553,acid.ocf.berkeley.edu,2017-08-30T22:26:02Z,2017-08-30T22:30:26Z,4M 24S,4
266563,acid.ocf.berkeley.edu,2017-08-30T22:34:02Z,2017-08-30T22:48:02Z,14M 0S,14
266579,acid.ocf.berkeley.edu,2017-08-30T22:49:01Z,2017-08-30T23:03:29Z,14M 28S,14
266600,acid.ocf.berkeley.edu,2017-08-30T23:08:02Z,2017-08-30T23:12:04Z,4M 2S,4
266611,acid.ocf.berkeley.edu,2017-08-30T23:16:01Z,2017-08-30T23:25:28Z,9M 27S,9
266688,acid.ocf.berkeley.edu,2017-08-31T00:44:02Z,2017-08-31T01:00:52Z,16M 50S,16
