id,host,user,start,end,last.update,duration,duration.min
262355,bigbang.ocf.berkeley.edu,shichenh,2017-08-23T06:32:01Z,2017-08-23T06:52:24Z,2017-08-23T06:52:24Z,00:20:23,20.38
262356,bigbang.ocf.berkeley.edu,shichenh,2017-08-23T07:19:02Z,2017-08-23T07:48:28Z,2017-08-23T07:48:28Z,00:29:26,29.43
262360,eruption.ocf.berkeley.edu,shasan,2017-08-23T09:05:01Z,2017-08-23T11:16:43Z,2017-08-23T11:16:43Z,02:11:42,131.7
262409,destruction.ocf.berkeley.edu,shikhardhingra,2017-08-23T09:49:02Z,2017-08-23T11:22:29Z,2017-08-23T11:22:29Z,01:33:27,93.45
262452,bigbang.ocf.berkeley.edu,jvperrin,2017-08-23T10:26:03Z,2017-08-23T16:50:51Z,2017-08-23T16:50:51Z,06:24:48,384.8
262464,sinkhole.ocf.berkeley.edu,baisang,2017-08-23T10:37:02Z,2017-08-23T11:02:12Z,2017-08-23T11:02:12Z,00:25:10,25.17
262481,meteorstorm.ocf.berkeley.edu,abizer,2017-08-23T10:49:03Z,2017-08-24T12:11:29Z,2017-08-24T12:11:29Z,25:22:26,1522.43
262510,blackout.ocf.berkeley.edu,bzhen,2017-08-23T11:11:02Z,2017-08-23T12:11:04Z,2017-08-23T12:11:04Z,01:00:02,60.03
262524,eruption.ocf.berkeley.edu,baisang,2017-08-23T11:18:03Z,2017-08-23T11:57:50Z,2017-08-23T11:57:50Z,00:39:47,39.78
262589,blight.ocf.berkeley.edu,shichenh,2017-08-23T12:09:02Z,2017-08-23T12:34:02Z,2017-08-23T12:34:02Z,00:25:00,25
262592,eruption.ocf.berkeley.edu,shasan,2017-08-23T12:10:03Z,2017-08-23T15:17:02Z,2017-08-23T15:17:02Z,03:06:59,186.98
262642,madcow.ocf.berkeley.edu,andycui,2017-08-23T12:59:03Z,2017-08-23T13:22:32Z,2017-08-23T13:22:32Z,00:23:29,23.48
262643,hurricane.ocf.berkeley.edu,zdong,2017-08-23T12:59:03Z,2017-08-23T13:22:53Z,2017-08-23T13:22:53Z,00:23:50,23.83
262673,avalanche.ocf.berkeley.edu,kpengboy,2017-08-23T13:22:03Z,2017-08-23T13:43:29Z,2017-08-23T13:43:29Z,00:21:26,21.43
262675,venom.ocf.berkeley.edu,zdong,2017-08-23T13:23:02Z,2017-08-23T18:15:25Z,2017-08-23T18:15:25Z,04:52:23,292.38
262679,cyanide.ocf.berkeley.edu,andycui,2017-08-23T13:24:03Z,2017-08-23T18:40:44Z,2017-08-23T18:40:44Z,05:16:41,316.68
262711,hailstorm.ocf.berkeley.edu,ldw,2017-08-23T13:59:02Z,2017-08-23T17:03:36Z,2017-08-23T17:03:36Z,03:04:34,184.57
262728,plague.ocf.berkeley.edu,bzhen,2017-08-23T14:13:03Z,2017-08-23T17:04:32Z,2017-08-23T17:04:32Z,02:51:29,171.48
262730,cyclone.ocf.berkeley.edu,christam,2017-08-23T14:14:02Z,2017-08-23T14:18:47Z,2017-08-23T14:18:47Z,00:04:45,4.75
262778,madcow.ocf.berkeley.edu,chuang,2017-08-23T15:02:02Z,2017-08-23T16:34:53Z,2017-08-23T16:34:53Z,01:32:51,92.85
262786,invasion.ocf.berkeley.edu,kevinma,2017-08-23T15:07:02Z,2017-08-23T18:09:40Z,2017-08-23T18:09:40Z,03:02:38,182.63
262801,eruption.ocf.berkeley.edu,shasan,2017-08-23T15:19:02Z,2017-08-23T22:33:57Z,2017-08-23T22:33:57Z,07:14:55,434.92
262834,heatwave.ocf.berkeley.edu,ldw,2017-08-23T15:55:02Z,2017-08-23T15:56:58Z,2017-08-23T15:56:58Z,00:01:56,1.93
262837,heatwave.ocf.berkeley.edu,baisang,2017-08-23T15:58:03Z,2017-08-23T18:44:48Z,2017-08-23T18:44:48Z,02:46:45,166.75
262891,bigbang.ocf.berkeley.edu,jvperrin,2017-08-23T16:52:02Z,2017-08-23T17:05:01Z,2017-08-23T17:05:01Z,00:12:59,12.98
262895,blight.ocf.berkeley.edu,shichenh,2017-08-23T16:57:02Z,2017-08-23T17:08:14Z,2017-08-23T17:08:14Z,00:11:12,11.2
262912,blight.ocf.berkeley.edu,shichenh,2017-08-23T17:10:03Z,2017-08-23T17:26:49Z,2017-08-23T17:26:49Z,00:16:46,16.77
262916,surge.ocf.berkeley.edu,asai,2017-08-23T17:13:03Z,2017-08-23T19:03:27Z,2017-08-23T19:03:27Z,01:50:24,110.4
262966,venom.ocf.berkeley.edu,zdong,2017-08-23T18:16:02Z,2017-08-23T18:55:44Z,2017-08-23T18:55:44Z,00:39:42,39.7
262971,hurricane.ocf.berkeley.edu,kuoh,2017-08-23T18:24:02Z,2017-08-23T18:47:11Z,2017-08-23T18:47:11Z,00:23:09,23.15
262986,cyclone.ocf.berkeley.edu,shichenh,2017-08-23T19:00:02Z,2017-08-23T20:48:05Z,2017-08-23T20:48:05Z,01:48:03,108.05
262988,invasion.ocf.berkeley.edu,asai,2017-08-23T19:05:02Z,2017-08-23T21:33:42Z,2017-08-23T21:33:42Z,02:28:40,148.67
262992,heatwave.ocf.berkeley.edu,baisang,2017-08-23T19:17:03Z,2017-08-23T20:14:36Z,2017-08-23T20:14:36Z,00:57:33,57.55
262999,sinkhole.ocf.berkeley.edu,kuoh,2017-08-23T19:32:02Z,2017-08-23T22:15:02Z,2017-08-23T22:15:02Z,02:43:00,163
263016,venom.ocf.berkeley.edu,zdong,2017-08-23T20:16:01Z,2017-08-23T22:32:25Z,2017-08-23T22:32:25Z,02:16:24,136.4
263017,cyanide.ocf.berkeley.edu,andycui,2017-08-23T20:19:02Z,2017-08-23T22:32:35Z,2017-08-23T22:32:35Z,02:13:33,133.55
263022,heatwave.ocf.berkeley.edu,ldw,2017-08-23T21:08:03Z,2017-08-23T22:08:12Z,2017-08-23T22:08:12Z,01:00:09,60.15
263023,bigbang.ocf.berkeley.edu,abizer,2017-08-23T21:25:03Z,2017-08-24T00:40:14Z,2017-08-24T00:40:14Z,03:15:11,195.18
263024,cyclone.ocf.berkeley.edu,abizer,2017-08-23T21:40:02Z,2017-08-23T21:54:05Z,2017-08-23T21:54:05Z,00:14:03,14.05
263025,sinkhole.ocf.berkeley.edu,kuoh,2017-08-23T22:39:02Z,2017-08-23T23:06:14Z,2017-08-23T23:06:14Z,00:27:12,27.2
263026,blight.ocf.berkeley.edu,abizer,2017-08-23T23:22:03Z,2017-08-24T01:15:05Z,2017-08-24T01:15:05Z,01:53:02,113.03
263027,sinkhole.ocf.berkeley.edu,kuoh,2017-08-23T23:26:03Z,2017-08-24T00:08:21Z,2017-08-24T00:08:21Z,00:42:18,42.3
263028,famine.ocf.berkeley.edu,abizer,2017-08-24T00:00:02Z,2017-08-24T01:14:35Z,2017-08-24T01:14:35Z,01:14:33,74.55
263029,bigbang.ocf.berkeley.edu,shichenh,2017-08-24T06:17:02Z,2017-08-24T07:26:07Z,2017-08-24T07:26:07Z,01:09:05,69.08
263033,cyclone.ocf.berkeley.edu,asai,2017-08-24T09:10:02Z,2017-08-24T10:01:11Z,2017-08-24T10:01:11Z,00:51:09,51.15
263052,outbreak.ocf.berkeley.edu,ldw,2017-08-24T09:22:03Z,2017-08-24T09:31:19Z,2017-08-24T09:31:19Z,00:09:16,9.27
263058,drought.ocf.berkeley.edu,bzhen,2017-08-24T09:28:03Z,2017-08-24T09:29:12Z,2017-08-24T09:29:12Z,00:01:09,1.15
263062,outbreak.ocf.berkeley.edu,nikitnainwal,2017-08-24T09:35:02Z,2017-08-24T09:39:01Z,2017-08-24T09:39:01Z,00:03:59,3.98
263075,bigbang.ocf.berkeley.edu,ldw,2017-08-24T09:48:02Z,2017-08-24T12:11:52Z,2017-08-24T12:11:52Z,02:23:50,143.83
263116,cyclone.ocf.berkeley.edu,asai,2017-08-24T10:32:03Z,2017-08-24T10:42:31Z,2017-08-24T10:42:31Z,00:10:28,10.47
263134,cyclone.ocf.berkeley.edu,asai,2017-08-24T10:43:02Z,2017-08-24T12:03:10Z,2017-08-24T12:03:10Z,01:20:08,80.13
263155,venom.ocf.berkeley.edu,zdong,2017-08-24T11:00:03Z,2017-08-24T16:40:54Z,2017-08-24T16:40:54Z,05:40:51,340.85
263166,cyanide.ocf.berkeley.edu,chuang,2017-08-24T11:08:02Z,2017-08-24T15:16:39Z,2017-08-24T15:16:39Z,04:08:37,248.62
263184,eruption.ocf.berkeley.edu,shasan,2017-08-24T11:17:02Z,2017-08-24T15:15:23Z,2017-08-24T15:15:23Z,03:58:21,238.35
263189,headcrash.ocf.berkeley.edu,kuoh,2017-08-24T11:20:03Z,2017-08-24T11:24:53Z,2017-08-24T11:24:53Z,00:04:50,4.83
263210,destruction.ocf.berkeley.edu,bchieng,2017-08-24T11:39:01Z,2017-08-24T12:44:40Z,2017-08-24T12:44:40Z,01:05:39,65.65
263229,madcow.ocf.berkeley.edu,kuoh,2017-08-24T11:57:02Z,2017-08-24T12:59:11Z,2017-08-24T12:59:11Z,01:02:09,62.15
263243,acid.ocf.berkeley.edu,gleeb,2017-08-24T12:05:02Z,2017-08-24T12:06:41Z,2017-08-24T12:06:41Z,00:01:39,1.65
263274,cyclone.ocf.berkeley.edu,asai,2017-08-24T12:28:02Z,2017-08-24T17:26:26Z,2017-08-24T17:26:26Z,04:58:24,298.4
263337,acid.ocf.berkeley.edu,baisang,2017-08-24T13:18:02Z,2017-08-24T13:55:14Z,2017-08-24T13:55:14Z,00:37:12,37.2
263338,firewhirl.ocf.berkeley.edu,shichenh,2017-08-24T13:19:03Z,2017-08-24T13:46:40Z,2017-08-24T13:46:40Z,00:27:37,27.62
263339,outbreak.ocf.berkeley.edu,gleeb,2017-08-24T13:19:03Z,2017-08-24T14:16:22Z,2017-08-24T14:16:22Z,00:57:19,57.32
263342,hailstorm.ocf.berkeley.edu,vaibhavj,2017-08-24T13:23:02Z,2017-08-24T13:46:33Z,2017-08-24T13:46:33Z,00:23:31,23.52
263449,blight.ocf.berkeley.edu,baisang,2017-08-24T15:06:02Z,2017-08-24T22:16:34Z,2017-08-24T22:16:34Z,07:10:32,430.53
263480,eruption.ocf.berkeley.edu,jvperrin,2017-08-24T15:25:02Z,2017-08-24T18:46:09Z,2017-08-24T18:46:09Z,03:21:07,201.12
263493,hurricane.ocf.berkeley.edu,shichenh,2017-08-24T15:36:02Z,2017-08-24T16:35:31Z,2017-08-24T16:35:31Z,00:59:29,59.48
263495,famine.ocf.berkeley.edu,vaibhavj,2017-08-24T15:41:03Z,2017-08-24T16:54:27Z,2017-08-24T16:54:27Z,01:13:24,73.4
263533,firewhirl.ocf.berkeley.edu,ldw,2017-08-24T16:13:03Z,2017-08-24T20:13:59Z,2017-08-24T20:13:59Z,04:00:56,240.93
263576,destruction.ocf.berkeley.edu,chunhaowang,2017-08-24T17:03:03Z,2017-08-24T21:52:40Z,2017-08-24T21:52:40Z,04:49:37,289.62
263630,bigbang.ocf.berkeley.edu,abizer,2017-08-24T18:57:02Z,2017-08-25T06:52:14Z,2017-08-25T06:52:14Z,11:55:12,715.2
263633,madcow.ocf.berkeley.edu,mcint,2017-08-24T19:10:03Z,2017-08-25T05:04:50Z,2017-08-25T05:04:50Z,09:54:47,594.78
263635,meteorstorm.ocf.berkeley.edu,shichenh,2017-08-24T19:18:02Z,2017-08-24T22:41:10Z,2017-08-24T22:41:10Z,03:23:08,203.13
263636,drought.ocf.berkeley.edu,vaibhavj,2017-08-24T19:19:01Z,2017-08-24T20:44:45Z,2017-08-24T20:44:45Z,01:25:44,85.73
263641,chaos.ocf.berkeley.edu,vaibhavj,2017-08-24T19:43:02Z,2017-08-24T19:45:02Z,2017-08-24T19:45:02Z,00:02:00,2
263642,volcano.ocf.berkeley.edu,abizer,2017-08-24T19:46:03Z,2017-08-24T19:51:05Z,2017-08-24T19:51:05Z,00:05:02,5.03
263648,cyanide.ocf.berkeley.edu,andycui,2017-08-24T20:00:02Z,2017-08-24T21:50:16Z,2017-08-24T21:50:16Z,01:50:14,110.23
263649,venom.ocf.berkeley.edu,zdong,2017-08-24T20:00:03Z,2017-08-25T00:00:31Z,2017-08-25T00:00:31Z,04:00:28,240.47
263650,eruption.ocf.berkeley.edu,shasan,2017-08-24T20:01:02Z,2017-08-24T21:49:41Z,2017-08-24T21:49:41Z,01:48:39,108.65
263651,famine.ocf.berkeley.edu,shikhardhingra,2017-08-24T20:04:02Z,2017-08-24T20:20:21Z,2017-08-24T20:20:21Z,00:16:19,16.32
263652,invasion.ocf.berkeley.edu,gleeb,2017-08-24T20:06:02Z,2017-08-24T20:14:31Z,2017-08-24T20:14:31Z,00:08:29,8.48
263653,invasion.ocf.berkeley.edu,gleeb,2017-08-24T20:15:03Z,2017-08-24T23:55:50Z,2017-08-24T23:55:50Z,03:40:47,220.78
263654,famine.ocf.berkeley.edu,christam,2017-08-24T20:26:02Z,2017-08-24T22:24:24Z,2017-08-24T22:24:24Z,01:58:22,118.37
263655,firewhirl.ocf.berkeley.edu,ldw,2017-08-24T20:50:01Z,2017-08-24T23:35:49Z,2017-08-24T23:35:49Z,02:45:48,165.8
263656,drought.ocf.berkeley.edu,kuoh,2017-08-24T22:28:02Z,2017-08-24T22:40:30Z,2017-08-24T22:40:30Z,00:12:28,12.47
263657,avalanche.ocf.berkeley.edu,gleeb,2017-08-24T23:05:03Z,2017-08-25T00:27:13Z,2017-08-25T00:27:13Z,01:22:10,82.17
263658,surge.ocf.berkeley.edu,kuoh,2017-08-24T23:31:02Z,2017-08-24T23:40:35Z,2017-08-24T23:40:35Z,00:09:33,9.55
263659,meteorstorm.ocf.berkeley.edu,kuoh,2017-08-25T00:08:02Z,2017-08-25T00:24:30Z,2017-08-25T00:24:30Z,00:16:28,16.47
263660,madcow.ocf.berkeley.edu,mcint,2017-08-25T05:09:02Z,2017-08-25T05:12:41Z,2017-08-25T05:12:41Z,00:03:39,3.65
263661,blight.ocf.berkeley.edu,mcint,2017-08-25T05:58:03Z,2017-08-25T05:58:24Z,2017-08-25T05:58:24Z,00:00:21,0.35
263662,bigbang.ocf.berkeley.edu,shichenh,2017-08-25T08:10:02Z,2017-08-25T08:42:37Z,2017-08-25T08:42:37Z,00:32:35,32.58
263663,bigbang.ocf.berkeley.edu,shichenh,2017-08-25T08:43:01Z,2017-08-25T08:57:41Z,2017-08-25T08:57:41Z,00:14:40,14.67
263665,eruption.ocf.berkeley.edu,baisang,2017-08-25T08:57:01Z,2017-08-25T11:59:28Z,2017-08-25T11:59:28Z,03:02:27,182.45
263715,asteroid.ocf.berkeley.edu,shichenh,2017-08-25T09:56:02Z,2017-08-25T10:58:43Z,2017-08-25T10:58:43Z,01:02:41,62.68
263724,headcrash.ocf.berkeley.edu,vaibhavj,2017-08-25T10:09:02Z,2017-08-25T10:12:07Z,2017-08-25T10:12:07Z,00:03:05,3.08
263736,cyclone.ocf.berkeley.edu,shasan,2017-08-25T10:16:02Z,2017-08-25T21:42:47Z,2017-08-25T21:42:47Z,11:26:45,686.75
263740,hurricane.ocf.berkeley.edu,shaurya,2017-08-25T10:18:02Z,2017-08-25T10:22:58Z,2017-08-25T10:22:58Z,00:04:56,4.93
263795,firewhirl.ocf.berkeley.edu,kpengboy,2017-08-25T11:06:03Z,2017-08-25T12:25:28Z,2017-08-25T12:25:28Z,01:19:25,79.42
263841,headcrash.ocf.berkeley.edu,chunhaowang,2017-08-25T11:31:02Z,2017-08-25T12:45:22Z,2017-08-25T12:45:22Z,01:14:20,74.33
263859,bigbang.ocf.berkeley.edu,bzhen,2017-08-25T11:46:02Z,2017-08-25T12:58:33Z,2017-08-25T12:58:33Z,01:12:31,72.52
263886,hurricane.ocf.berkeley.edu,asai,2017-08-25T12:12:02Z,2017-08-25T12:19:25Z,2017-08-25T12:19:25Z,00:07:23,7.38
263899,eruption.ocf.berkeley.edu,asai,2017-08-25T12:20:01Z,2017-08-25T18:34:33Z,2017-08-25T18:34:33Z,06:14:32,374.53
